feature,relative_importance_val1,relative_importance_val2,cluster
168,0.001140237788282481,0.0009034543844109832,0
169,0.0014668385618106287,0.0016474756421612047,0
170,0.012410829394069617,0.01546501328609371,2
171,0.0013694313135653917,0.0024623560673162088,1
172,0.0012548345509239363,0.0020726306465897256,1
173,0.002251826385904598,0.002019486271036138,1
174,0.00064174187079215,0.0006377325066428698,0
175,0.0012662942271880818,0.0025686448184233835,1
176,0.0005328749462827674,0.0012931798051372895,0
177,0.001767655063744449,0.0011514614703277235,0
178,0.0006847156567826958,0.0007263064658988485,0
179,0.0007219596046411688,0.0007794508414524358,0
180,0.0003294656925941842,0.000620017714791674,0
181,0.00040968342644320295,0.0012931798051372895,0
182,0.0004497922933677123,0.0006023029229404783,0
183,0.0007735281478298238,0.00030115146147015055,0
184,0.002205987680848016,0.0010274579273693535,0
185,0.0005930382466695315,0.00023029229406536757,0
186,0.0023950723392064176,0.002249778565101683,1
187,0.0011946712505371722,0.001328609388839681,0
188,0.0017705199828104853,0.0013994685562444642,0
189,0.001111588597622117,0.0009388839681133747,0
190,0.0010027216731127344,0.0009034543844109832,0
191,0.001469703480876665,0.0016297608503100089,0
192,0.0007506087953015328,0.0013108945969884853,0
193,0.0013407821229050277,0.0012400354295837024,0
194,0.0009024495058014611,0.0010451727192205492,0
195,0.0007162297665090961,0.0011514614703277235,0
196,0.0017275461968199398,0.0017537643932683791,1
197,0.001163157140810772,0.000177147918511938,0
198,0.0017476006302821943,0.0019840566873337464,1
199,0.001558515971923793,0.00230292294065527,1
200,0.0004641168886978943,0.0010097431355181577,0
201,0.0002778971494055293,0.0005314437555356954,0
202,0.0018994413407821225,0.0013640389725420726,1
203,0.0017246812777539033,0.0011868910540301153,0
204,0.0004297378599054576,0.000478299379982108,0
205,0.0009425583727259703,0.0012577502214348982,0
206,0.0005615241369431313,0.000549158547386891,0
207,0.0010399656209712075,0.00015943312666076383,0
208,0.0013436470419710643,0.0022143489813992914,1
209,0.0009798023205844434,0.0009034543844109832,0
210,0.0010686148116315713,0.0015234720992028344,0
211,0.0007248245237072053,0.0007263064658988485,0
212,0.0013293224466408822,0.002249778565101683,1
213,0.0012032660077352815,0.001558901682905226,0
214,0.0026070763500931097,0.0027103631532329493,1
215,0.0009053144248674974,0.0015234720992028344,0
216,0.001567110729121902,0.0017537643932683791,1
217,0.0007133648474430596,0.000690876882196457,0
218,0.001976794155565105,0.0030823737821080604,1
219,0.0006675261423864775,0.0012577502214348982,0
220,0.000767798309697751,0.0008680248007085917,0
221,0.0014381893711502647,0.001275465013286094,0
222,0.00277324165592322,0.0035961027457925595,1
223,0.0017132216014897578,0.0026217891939769706,1
224,0.0017275461968199398,0.001133746678476528,0
225,0.001670247815499212,0.0019131975199289638,1
226,0.0023606933104139806,0.002586359610274579,1
227,0.0017017619252256123,0.00230292294065527,1
228,0.0012089958458673543,0.0006731620903452613,0
229,0.0013379172038389916,0.0021612046058457042,1
230,0.0008566108007448789,0.0008325952170062001,0
231,0.0008107720956882968,0.0007971656333038087,0
232,0.0006904454949147686,0.00076173604960124,0
233,0.0007506087953015328,0.0011514614703277235,0
234,0.0006245523563959318,0.0010628875110717448,0
